,InletMethod,SMILES,RetentionTime,MolPol,IES
107,Standard_3min_col3_sur,C[C@@H]1CN(Cc2ccc(NC(=O)c3sc(nc3C)c4ccc(F)cc4)cc2C(F)(F)F)C[C@H](C)[C@H]1O,92.2098,339.7972528298055,-0.3929023732575194
108,Standard_3min_col3_sur,C[C@H](NC(=O)OCc1ccccc1)C(=O)Nc2ccc(CN3C[C@@H](C)[C@H](O)[C@@H](C)C3)c(c2)C(F)(F)F,79.155,334.8472564836245,-0.4674298169865338
109,BEH_NH3_H2O_B2_4,C[C@@H]1CN(Cc2ccc(NC(=O)c3ccc4OCS(=O)(=O)Nc4c3)cc2C(F)(F)F)C[C@H](C)[C@H]1O,120.3372,322.46352769210387,-0.4676959273671048
110,BEH_NH3_H2O_B2_4,Cn1nccc1c2cc(sc2C(=O)NCC(F)F)c3cnn4cc(cnc34)c5cccc(c5)N6CCNCC6,207.021,374.5158550757348,-0.40569817398560987
111,Standard_3min_col2_alk,CC(=O)c1nn(CC(=O)N2CC[C@H]3CC[C@H](NC(=O)C4(F)CC5(CCC5)C4)[C@@H]23)c6ccc(cc16)c7cnc(C)nc7,107.64,384.1210594861759,-0.4661578418581826
112,Standard_3min_col3_sur,C[C@@H]1CN(Cc2ccc(NC(=O)c3ccccc3C4CCOCC4)cc2C(F)(F)F)C[C@H](C)[C@H]1O,76.668,330.98598546574414,-0.3948122070676493
113,Standard_3min_col3_sur,CC(=O)c1nn(CC(=O)N2CC[C@H]3CC[C@H](NC(=O)[C@@H](F)C4CCC4)[C@@H]23)c5ccc(cc15)c6cnc(C)nc6,98.148,365.61810203661963,-0.45788230026450394
114,BEH_NH3_3,O[C@@]1(CC(=NO1)c2ccc(CC(=O)Nc3ccc4C(=O)N([C@H]5CCC(=O)NC5=O)C(=O)c4c3)cc2)C(F)(F)F,100.539,325.8877156031255,-0.4727538933098199
115,Standard_3min_col2_alk,C[C@@H]1CN(Cc2ccc(NC(=O)Cc3ccccc3)cc2C(F)(F)F)C[C@H](C)[C@]1(C)O,121.1142,295.54916308001793,-0.35125749313949034
116,BEH_NH3_3,Cc1ncsc1c2cc(sc2C(=O)NCC(F)(F)F)c3cnc4CN(CCn34)c5ccc(cc5)S(=O)(=O)C,105.75299999999999,371.5317293989859,-0.4117628472642949
117,Standard_3min_col2_alk,C[C@@H]1CN(Cc2ccc(NC(=O)c3cc4ccsc4[nH]3)cc2C(F)(F)F)C[C@H](C)[C@H]1O,116.1762,294.7987031388672,-0.3577979134071324
118,EP_NH3_2,C[C@H](O)CNC(=O)c1sc(cc1c2ccnn2C)c3cnc4cc(ccn34)c5cccc(c5)N6CCNCC6,126.5898,393.40623050886484,-0.4142160816446671
119,Standard_3min_col3_sur,CC1(F)CCN(Cc2ccc(NC(=O)Cc3ccccc3)cc2C(F)(F)F)CC1,80.6448,268.0049298399332,-0.30245234403856325
